-1.83458578002066,-1.474679349515794;-1.474679349515794,-1.1147729190109281;-1.1147729190109281,-0.7548664885060621;-0.7548664885060621,-0.39496005800119605;-0.39496005800119605,-0.03505362749633001;-0.03505362749633001,0.3248528030085358;0.3248528030085358,0.6847592335134018;0.6847592335134018,1.0446656640182679;1.0446656640182679,1.404572094523134;1.404572094523134,1.764478525028
-0.848627076575358,-0.3956653672620121;-0.3956653672620121,0.057296342051333715;0.057296342051333715,0.5102580513646796;0.5102580513646796,0.9632197606780254;0.9632197606780254,1.416181469991371;1.416181469991371,1.869143179304717;1.869143179304717,2.3221048886180626;2.3221048886180626,2.7750665979314086;2.7750665979314086,3.228028307244754;3.228028307244754,3.6809900165581
-5.0517804428431,-4.063103071217328;-4.063103071217328,-3.074425699591556;-3.074425699591556,-2.085748327965784;-2.085748327965784,-1.097070956340012;-1.097070956340012,-0.1083935847142401;-0.1083935847142401,0.8802837869115319;0.8802837869115319,1.8689611585373038;1.8689611585373038,2.857638530163076;2.857638530163076,3.8463159017888486;3.8463159017888486,4.83499327341462
-12.4888478776991,-10.815463992386476;-10.815463992386476,-9.142080107073852;-9.142080107073852,-7.468696221761229;-7.468696221761229,-5.795312336448605;-5.795312336448605,-4.121928451135981;-4.121928451135981,-2.448544565823358;-2.448544565823358,-0.7751606805107336;-0.7751606805107336,0.8982232048018908;0.8982232048018908,2.571607090114515;2.571607090114515,4.24499097542714
-4.13607762047691,-3.3153877854404903;-3.3153877854404903,-2.4946979504040705;-2.4946979504040705,-1.6740081153676503;-1.6740081153676503,-0.8533182803312305;-0.8533182803312305,-0.03262844529481068;-0.03262844529481068,0.7880613897416096;0.7880613897416096,1.608751224778029;1.608751224778029,2.429441059814449;2.429441059814449,3.2501308948508694;3.2501308948508694,4.07082072988729
-5.01777903449512,-4.022836665865296;-4.022836665865296,-3.0278942972354717;-3.0278942972354717,-2.032951928605648;-2.032951928605648,-1.0380095599758241;-1.0380095599758241,-0.04306719134600012;-0.04306719134600012,0.9518751772838234;0.9518751772838234,1.9468175459136479;1.9468175459136479,2.9417599145434714;2.9417599145434714,3.936702283173296;3.936702283173296,4.93164465180312
-0.989632806692973,-0.6188165002607398;-0.6188165002607398,-0.24800019382850647;-0.24800019382850647,0.12281611260372671;0.12281611260372671,0.4936324190359601;0.4936324190359601,0.8644487254681935;0.8644487254681935,1.2352650319004264;1.2352650319004264,1.6060813383326598;1.6060813383326598,1.9768976447648932;1.9768976447648932,2.3477139511971266;2.3477139511971266,2.71853025762936
-3.20281683420023,-2.475871106824757;-2.475871106824757,-1.748925379449284;-1.748925379449284,-1.021979652073811;-1.021979652073811,-0.295033924698338;-0.295033924698338,0.4319118026771349;0.4319118026771349,1.1588575300526083;1.1588575300526083,1.8858032574280807;1.8858032574280807,2.612748984803554;2.612748984803554,3.3396947121790275;3.3396947121790275,4.0666404395545
-5.03556677236227,-4.265691032225988;-4.265691032225988,-3.495815292089706;-3.495815292089706,-2.7259395519534237;-2.7259395519534237,-1.9560638118171418;-1.9560638118171418,-1.18618807168086;-1.18618807168086,-0.41631233154457714;-0.41631233154457714,0.35356340859170476;0.35356340859170476,1.1234391487279867;1.1234391487279867,1.8933148888642686;1.8933148888642686,2.66319062900055
-3.83393725943706,-3.246404256248621;-3.246404256248621,-2.658871253060182;-2.658871253060182,-2.0713382498717428;-2.0713382498717428,-1.4838052466833038;-1.4838052466833038,-0.8962722434948649;-0.8962722434948649,-0.3087392403064255;-0.3087392403064255,0.27879376288201296;0.27879376288201296,0.8663267660704523;0.8663267660704523,1.4538597692588917;1.4538597692588917,2.04139277244733
-4.64478451065404,-3.9297257352628354;-3.9297257352628354,-3.2146669598716304;-3.2146669598716304,-2.499608184480425;-2.499608184480425,-1.78454940908922;-1.78454940908922,-1.069490633698015;-1.069490633698015,-0.35443185830680957;-0.35443185830680957,0.360626917084395;0.360626917084395,1.0756856924756004;1.0756856924756004,1.7907444678668059;1.7907444678668059,2.50580324325801
